Episode,Nombre d'actions r�alis�es,Nombre d'action moyen,Record
0,7,7.0,10
1,4,5.5,10
2,3,4.666666666666667,10
3,6,5.0,10
4,3,4.6,10
5,4,4.5,10
6,2,4.142857142857143,10
7,2,3.875,10
8,2,3.6666666666666665,10
9,2,3.5,10
10,2,3.3636363636363638,10
11,2,3.25,10
12,6,3.4615384615384617,10
13,9,3.857142857142857,10
14,4,3.8666666666666667,10
15,2,3.75,10
16,5,3.823529411764706,10
17,4,3.8333333333333335,10
18,3,3.789473684210526,10
19,4,3.8,10
20,3,3.761904761904762,10
21,4,3.772727272727273,10
22,4,3.782608695652174,10
23,1,3.6666666666666665,10
24,2,3.6,10
25,1,3.5,10
26,1,3.4074074074074074,10
27,1,3.3214285714285716,10
28,2,3.2758620689655173,10
29,1,3.2,10
30,4,3.225806451612903,10
31,3,3.21875,10
32,1,3.1515151515151514,10
33,3,3.1470588235294117,10
34,2,3.1142857142857143,10
35,3,3.111111111111111,10
36,2,3.081081081081081,10
37,3,3.0789473684210527,10
38,4,3.1025641025641026,10
39,2,3.075,10
40,3,3.073170731707317,10
41,3,3.0714285714285716,10
42,3,3.0697674418604652,10
43,4,3.090909090909091,10
44,3,3.088888888888889,10
45,4,3.108695652173913,10
46,3,3.106382978723404,10
47,3,3.1041666666666665,10
48,3,3.1020408163265305,10
49,2,3.08,10
50,3,3.0784313725490198,10
51,3,3.076923076923077,10
52,2,3.056603773584906,10
53,3,3.0555555555555554,10
54,2,3.036363636363636,10
55,3,3.0357142857142856,10
56,5,3.0701754385964914,10
57,4,3.086206896551724,10
58,2,3.0677966101694913,10
59,2,3.05,10
60,2,3.0327868852459017,10
61,2,3.0161290322580645,10
62,10,3.126984126984127,10
63,3,3.125,10
64,3,3.123076923076923,10
65,3,3.121212121212121,10
66,3,3.1194029850746268,10
67,3,3.1176470588235294,10
68,3,3.1159420289855073,10
69,2,3.1,10
70,2,3.084507042253521,10
71,2,3.0694444444444446,10
72,2,3.0547945205479454,10
73,2,3.0405405405405403,10
74,2,3.026666666666667,10
75,2,3.013157894736842,10
76,2,3.0,10
77,2,2.9871794871794872,10
78,2,2.9746835443037973,10
79,2,2.9625,10
80,2,2.950617283950617,10
81,2,2.9390243902439024,10
82,2,2.927710843373494,10
83,3,2.9285714285714284,10
84,2,2.9176470588235293,10
85,3,2.9186046511627906,10
86,2,2.9080459770114944,10
87,2,2.897727272727273,10
88,2,2.8876404494382024,10
89,4,2.9,10
90,2,2.89010989010989,10
91,2,2.880434782608696,10
92,2,2.870967741935484,10
93,2,2.8617021276595747,10
94,2,2.8526315789473684,10
95,2,2.84375,10
96,2,2.8350515463917527,10
97,2,2.826530612244898,10
98,4,2.8383838383838382,10
99,2,2.83,10
100,2,2.8217821782178216,10
101,2,2.8137254901960786,10
102,3,2.8155339805825244,10
103,2,2.8076923076923075,10
104,3,2.8095238095238093,10
105,3,2.811320754716981,10
106,3,2.8130841121495327,10
107,4,2.824074074074074,10
108,5,2.8440366972477062,10
109,3,2.8454545454545452,10
110,3,2.8468468468468466,10
111,4,2.857142857142857,10
112,3,2.8584070796460175,10
113,2,2.8508771929824563,10
114,2,2.8434782608695652,10
115,2,2.836206896551724,10
116,2,2.8290598290598292,10
117,2,2.8220338983050848,10
118,3,2.823529411764706,10
119,2,2.816666666666667,10
120,2,2.809917355371901,10
121,2,2.80327868852459,10
122,2,2.796747967479675,10
123,2,2.7903225806451615,10
124,2,2.784,10
125,1,2.7698412698412698,10
126,1,2.7559055118110236,10
127,1,2.7421875,10
128,3,2.744186046511628,10
129,6,2.769230769230769,10
130,3,2.7709923664122136,10
131,3,2.772727272727273,10
132,5,2.789473684210526,10
133,7,2.8208955223880596,10
134,3,2.8222222222222224,10
135,3,2.823529411764706,10
136,2,2.8175182481751824,10
137,2,2.8115942028985508,10
138,2,2.805755395683453,10
139,2,2.8,10
140,2,2.7943262411347516,10
141,2,2.788732394366197,10
142,2,2.7832167832167833,10
143,2,2.7777777777777777,10
144,2,2.7724137931034485,10
145,2,2.767123287671233,10
146,2,2.761904761904762,10
147,2,2.7567567567567566,10
148,2,2.751677852348993,10
149,2,2.7466666666666666,10
150,2,2.7417218543046356,10
151,2,2.736842105263158,10
152,2,2.7320261437908497,10
153,2,2.727272727272727,10
154,2,2.7225806451612904,10
155,2,2.717948717948718,10
156,2,2.713375796178344,10
157,2,2.7088607594936707,10
158,2,2.7044025157232703,10
159,2,2.7,10
160,2,2.6956521739130435,10
161,3,2.697530864197531,10
162,2,2.6932515337423313,10
163,2,2.6890243902439024,10
164,2,2.684848484848485,10
165,2,2.680722891566265,10
166,2,2.6766467065868262,10
167,2,2.6726190476190474,10
168,3,2.6745562130177514,10
169,2,2.6705882352941175,10
