Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,3,3.0,155
1,2,2.5,155
2,2,2.3333333333333335,155
3,2,2.25,155
4,3,2.4,155
5,2,2.3333333333333335,155
6,2,2.2857142857142856,155
7,2,2.25,155
8,2,2.2222222222222223,155
9,3,2.3,155
10,2,2.272727272727273,155
11,2,2.25,155
12,2,2.230769230769231,155
13,5,2.4285714285714284,155
14,4,2.533333333333333,155
15,2,2.5,155
16,2,2.4705882352941178,155
17,3,2.5,155
18,3,2.526315789473684,155
19,3,2.55,155
20,2,2.5238095238095237,155
21,3,2.5454545454545454,155
22,9,2.8260869565217392,155
23,7,3.0,155
24,2,2.96,155
25,2,2.923076923076923,155
26,2,2.888888888888889,155
27,2,2.857142857142857,155
28,2,2.8275862068965516,155
29,2,2.8,155
30,5,2.870967741935484,155
31,2,2.84375,155
32,2,2.8181818181818183,155
33,2,2.7941176470588234,155
34,2,2.7714285714285714,155
35,4,2.8055555555555554,155
36,2,2.7837837837837838,155
37,2,2.763157894736842,155
38,3,2.769230769230769,155
39,5,2.825,155
40,3,2.8292682926829267,155
41,2,2.8095238095238093,155
42,2,2.7906976744186047,155
43,2,2.772727272727273,155
44,4,2.8,155
45,4,2.8260869565217392,155
46,2,2.8085106382978724,155
47,2,2.7916666666666665,155
48,2,2.7755102040816326,155
49,2,2.76,155
50,3,2.764705882352941,155
51,2,2.75,155
52,3,2.7547169811320753,155
53,2,2.740740740740741,155
54,2,2.727272727272727,155
55,2,2.7142857142857144,155
56,2,2.7017543859649122,155
57,3,2.706896551724138,155
58,8,2.7966101694915255,155
59,3,2.8,155
60,3,2.80327868852459,155
61,6,2.8548387096774195,155
62,6,2.9047619047619047,155
63,5,2.9375,155
64,3,2.9384615384615387,155
65,4,2.9545454545454546,155
66,2,2.9402985074626864,155
67,2,2.926470588235294,155
68,2,2.9130434782608696,155
69,2,2.9,155
70,2,2.887323943661972,155
71,2,2.875,155
72,2,2.863013698630137,155
73,2,2.8513513513513513,155
74,2,2.84,155
75,2,2.8289473684210527,155
76,2,2.8181818181818183,155
77,1,2.7948717948717947,155
78,1,2.7721518987341773,155
79,1,2.75,155
80,1,2.728395061728395,155
81,1,2.707317073170732,155
82,1,2.6867469879518073,155
83,1,2.6666666666666665,155
84,1,2.6470588235294117,155
85,1,2.627906976744186,155
86,2,2.6206896551724137,155
87,2,2.6136363636363638,155
88,2,2.606741573033708,155
89,2,2.6,155
90,2,2.5934065934065935,155
91,1,2.5760869565217392,155
92,4,2.5913978494623655,155
93,3,2.595744680851064,155
94,4,2.610526315789474,155
95,2,2.6041666666666665,155
96,1,2.5876288659793816,155
97,3,2.5918367346938775,155
98,2,2.585858585858586,155
99,2,2.58,155
100,2,2.5742574257425743,155
101,2,2.5686274509803924,155
102,2,2.563106796116505,155
103,3,2.5673076923076925,155
104,2,2.5619047619047617,155
105,2,2.556603773584906,155
106,3,2.560747663551402,155
107,3,2.564814814814815,155
108,3,2.5688073394495414,155
109,2,2.5636363636363635,155
110,2,2.5585585585585586,155
111,2,2.5535714285714284,155
112,2,2.5486725663716814,155
113,2,2.543859649122807,155
114,2,2.5391304347826087,155
115,2,2.5344827586206895,155
116,3,2.5384615384615383,155
117,2,2.5338983050847457,155
118,2,2.5294117647058822,155
119,2,2.525,155
120,3,2.5289256198347108,155
121,2,2.5245901639344264,155
122,2,2.5203252032520327,155
123,3,2.524193548387097,155
124,3,2.528,155
125,2,2.5238095238095237,155
126,2,2.5196850393700787,155
127,2,2.515625,155
128,2,2.511627906976744,155
129,2,2.5076923076923077,155
130,2,2.50381679389313,155
131,2,2.5,155
132,1,2.488721804511278,155
133,1,2.4776119402985075,155
134,1,2.466666666666667,155
135,1,2.4558823529411766,155
136,1,2.4452554744525545,155
137,1,2.4347826086956523,155
138,1,2.4244604316546763,155
139,1,2.414285714285714,155
140,1,2.404255319148936,155
141,1,2.3943661971830985,155
142,1,2.3846153846153846,155
143,3,2.388888888888889,155
144,2,2.386206896551724,155
