Episode,Nombre d'actions réalisées,Nombre d'action moyen,Record
0,5,5.0,20
1,8,6.5,20
2,3,5.333333333333333,20
3,4,5.0,20
4,4,4.8,20
5,3,4.5,20
6,3,4.285714285714286,20
7,9,4.875,20
8,7,5.111111111111111,20
9,3,4.9,20
10,4,4.818181818181818,20
11,5,4.833333333333333,20
12,4,4.769230769230769,20
13,7,4.928571428571429,20
14,4,4.866666666666666,20
15,5,4.875,20
16,6,4.9411764705882355,20
17,5,4.944444444444445,20
18,4,4.894736842105263,20
19,3,4.8,20
20,3,4.714285714285714,20
21,3,4.636363636363637,20
22,6,4.695652173913044,20
23,4,4.666666666666667,20
24,5,4.68,20
25,3,4.615384615384615,20
26,5,4.62962962962963,20
27,4,4.607142857142857,20
28,13,4.896551724137931,20
29,6,4.933333333333334,20
30,5,4.935483870967742,20
31,6,4.96875,20
32,9,5.090909090909091,20
33,4,5.0588235294117645,20
34,8,5.142857142857143,20
35,5,5.138888888888889,20
36,4,5.108108108108108,20
37,4,5.078947368421052,20
38,3,5.0256410256410255,20
39,4,5.0,20
40,9,5.097560975609756,20
41,4,5.071428571428571,20
42,5,5.069767441860465,20
43,4,5.045454545454546,20
44,4,5.022222222222222,20
45,3,4.978260869565218,20
46,9,5.0638297872340425,20
47,4,5.041666666666667,20
48,10,5.142857142857143,20
49,6,5.16,20
50,5,5.1568627450980395,20
51,6,5.173076923076923,20
52,6,5.188679245283019,20
53,5,5.185185185185185,20
54,5,5.181818181818182,20
55,4,5.160714285714286,20
56,4,5.140350877192983,20
57,3,5.103448275862069,20
58,5,5.101694915254237,20
59,6,5.116666666666666,20
60,3,5.081967213114754,20
61,9,5.145161290322581,20
62,7,5.174603174603175,20
63,10,5.25,20
64,4,5.230769230769231,20
65,4,5.212121212121212,20
66,4,5.1940298507462686,20
67,4,5.176470588235294,20
68,5,5.173913043478261,20
69,5,5.171428571428572,20
70,4,5.154929577464789,20
71,5,5.152777777777778,20
72,6,5.164383561643835,20
73,4,5.148648648648648,20
74,5,5.1466666666666665,20
75,4,5.131578947368421,20
76,4,5.116883116883117,20
77,5,5.115384615384615,20
78,5,5.113924050632911,20
79,3,5.0875,20
80,4,5.074074074074074,20
81,8,5.109756097560975,20
82,8,5.144578313253012,20
83,6,5.154761904761905,20
84,5,5.152941176470589,20
85,5,5.151162790697675,20
86,5,5.149425287356322,20
87,6,5.159090909090909,20
88,5,5.157303370786517,20
89,11,5.222222222222222,20
90,6,5.230769230769231,20
91,5,5.228260869565218,20
92,6,5.236559139784946,20
93,1,5.191489361702128,20
94,5,5.189473684210526,20
95,6,5.197916666666667,20
96,6,5.206185567010309,20
97,6,5.214285714285714,20
98,7,5.232323232323233,20
99,6,5.24,20
100,6,5.247524752475248,20
101,6,5.254901960784314,20
102,6,5.262135922330097,20
103,4,5.25,20
104,5,5.247619047619048,20
105,7,5.264150943396227,20
106,5,5.261682242990654,20
107,4,5.25,20
108,6,5.256880733944954,20
109,20,5.390909090909091,20
110,11,5.441441441441442,20
111,4,5.428571428571429,20
112,7,5.442477876106195,20
113,5,5.43859649122807,20
114,7,5.452173913043478,20
115,6,5.456896551724138,20
116,6,5.461538461538462,20
117,5,5.4576271186440675,20
118,5,5.453781512605042,20
119,5,5.45,20
120,4,5.43801652892562,20
121,6,5.442622950819672,20
122,6,5.4471544715447155,20
123,6,5.451612903225806,20
124,6,5.456,20
125,5,5.4523809523809526,20
126,6,5.456692913385827,20
127,10,5.4921875,20
128,5,5.488372093023256,20
129,5,5.484615384615385,20
130,7,5.4961832061068705,20
131,6,5.5,20
132,7,5.511278195488722,20
133,4,5.5,20
134,5,5.496296296296296,20
